Version	N	Iteracion	Tiempo	Tiempo/Iteracion
Sin-Optimizar	100	1000	0.202624	0.000203
Optimizada	100	1000	0.192295	0.000192
Sin-Optimizar	250	1000	1.241688	0.001242
Optimizada	250	1000	1.135317	0.001135
Sin-Optimizar	500	1000	4.684915	0.004685
Optimizada	500	1000	4.567896	0.004568
Sin-Optimizar	750	1000	10.784964	0.010785
Optimizada	750	1000	10.426264	0.010426
Sin-Optimizar	1000	1000	19.728809	0.019729
Optimizada	1000	1000	18.720830	0.018721
Sin-Optimizar	3500	100	22.593044	0.225930
Optimizada	3500	100	22.650585	0.226506
Sin-Optimizar	7500	100	105.609402	1.056094
Optimizada	7500	100	104.981286	1.049813
Sin-Optimizar	10000	10	18.613660	1.861366
Optimizada	10000	10	18.203225	1.820323
Sin-Optimizar	11000	10	22.868970	2.286897
Optimizada	11000	10	22.620623	2.262062
Sin-Optimizar	12000	10	27.219613	2.721961
Optimizada	12000	10	26.737803	2.673780
Sin-Optimizar	13000	10	31.932154	3.193215
Optimizada	13000	10	31.142910	3.114291
Sin-Optimizar	14000	10	37.501050	3.750105
Optimizada	14000	10	36.233586	3.623359
Sin-Optimizar	15000	10	42.233683	4.223368
Optimizada	15000	10	41.218307	4.121831
Sin-Optimizar	16000	10	48.165272	4.816527
Optimizada	16000	10	46.712844	4.671284
